# delay_us	bmRequestType	bRequest	wValue	wIndex	wLength	data_hex	capture_frame
0	0x40	0x88	0x0000	0x0027	1	00	4198
1250	0x01	0x0b	0x0000	0x0000	0	-	4200
739	0x40	0x88	0x0000	0x0035	1	06	4202
2019	0x40	0x88	0x0000	0x0035	1	00	4204
12978	0xc0	0x88	0x0000	0x0340	64	-	4206
31029	0xc0	0x88	0x0000	0x0340	64	-	4208
37044	0xc0	0x88	0x0000	0x0340	64	-	4210
38012	0xc0	0x88	0x0000	0x002d	1	-	4212
1960	0x40	0x88	0x0000	0x0070	1	30	4214
2036	0x40	0x88	0x0000	0x0000	1	18	4216
2001	0x40	0x88	0x0000	0x0055	1	88	4218
1937	0x40	0x88	0x0000	0x005e	1	07	4220
4074	0x40	0x88	0x0000	0x0060	1	00	4222
1972	0x40	0x88	0x0000	0x0061	1	3f	4224
2014	0x40	0x88	0x0000	0x0068	1	02	4226
1987	0x40	0x88	0x0000	0x0050	1	24	4228
173	0xc0	0x88	0x0000	0x0340	64	-	4230
1832	0x40	0x88	0x0000	0x005e	1	03	4232
2057	0x40	0x88	0x0000	0x005e	1	07	4234
1932	0x40	0x88	0x0000	0x0070	1	31	4236
2022	0x40	0x88	0x0000	0x0000	1	19	4238
2351	0x01	0x0b	0x0007	0x0000	0	-	4240
21836	0xc0	0x88	0x0000	0x0340	64	-	4242
30967	0x40	0x88	0x0000	0x0027	1	ff	4244
7153	0x01	0x0b	0x0005	0x0000	0	-	4246
7732	0x40	0x88	0x0000	0x0300	64	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000691061	4248
2977	0xc0	0x88	0x0000	0x0340	64	-	4250
28970	0xc0	0x88	0x0000	0x0340	64	-	4252
15057	0x40	0x88	0x0000	0x0027	1	c0	4254
2974	0x40	0x88	0x0000	0x0023	1	00	4256
3080	0x40	0x88	0x0000	0x0024	1	68	4258
2912	0x40	0x88	0x0000	0x0022	1	0c	4260
3135	0x40	0x88	0x0000	0x0035	1	0f	4262
2838	0x40	0x88	0x0000	0x0070	1	30	4264
223	0xc0	0x88	0x0000	0x0340	64	-	4266
1825	0x40	0x88	0x0000	0x0000	1	18	4268
2000	0x40	0x88	0x0000	0x0000	1	18	4270
7088	0x40	0x88	0x0000	0x0001	1	98	4272
2899	0x40	0x88	0x0000	0x0002	1	98	4274
2994	0x40	0x88	0x0000	0x0003	1	80	4276
3005	0x40	0x88	0x0000	0x000f	1	b0	4278
2009	0x40	0x88	0x0000	0x0004	1	00	4280
2978	0x40	0x88	0x0000	0x0005	1	00	4282
3014	0x40	0x88	0x0000	0x0006	1	40	4284
1981	0x40	0x88	0x0000	0x0007	1	01	4286
3043	0x40	0x88	0x0000	0x0008	1	08	4288
170	0xc0	0x88	0x0000	0x0340	64	-	4290
6808	0x40	0x88	0x0000	0x0009	1	00	4292
2995	0x40	0x88	0x0000	0x000a	1	27	4294
3021	0x40	0x88	0x0000	0x000b	1	01	4296
3006	0x40	0x88	0x0000	0x0053	1	40	4298
2994	0x40	0x88	0x0000	0x0054	1	01	4300
3005	0x40	0x88	0x0000	0x0078	1	68	4302
2964	0x40	0x88	0x0000	0x0079	1	01	4304
2988	0x40	0x88	0x0000	0x0071	1	45	4306
3042	0x40	0x88	0x0000	0x0072	1	00	4308
5065	0xc0	0x88	0x0000	0x0340	64	-	4310
1955	0x40	0x88	0x0000	0x002c	1	01	4312
2964	0x40	0x88	0x0000	0x0000	1	18	4314
3027	0x40	0x88	0x0000	0x000f	1	b0	4316
1980	0x40	0x88	0x0000	0x007a	1	1f	4318
3039	0x40	0x88	0x0000	0x002b	1	01	4320
2941	0x40	0x88	0x0000	0x0073	1	01	4322
2032	0x40	0x88	0x0000	0x005e	1	03	4324
3004	0x40	0x88	0x0000	0x005e	1	07	4326
2994	0x40	0x88	0x0000	0x0070	1	31	4328
1021	0xc0	0x88	0x0000	0x0340	64	-	4330
6992	0x40	0x88	0x0000	0x0000	1	19	4332
973	0x40	0x88	0x0000	0x0000	1	00	4334
1022	0x40	0x88	0x0000	0x0050	1	c0	4336
1976	0x40	0x88	0x0000	0x0055	1	80	4338
2983	0x40	0x88	0x0000	0x0061	1	3f	4340
2963	0x40	0x88	0x0000	0x007a	1	0f	4342
1983	0x40	0x88	0x0000	0x0006	1	80	4344
3062	0x40	0x88	0x0000	0x0007	1	02	4346
2018	0x40	0x88	0x0000	0x000a	1	df	4348
3008	0x40	0x88	0x0000	0x000f	1	00	4350
1997	0x40	0x88	0x0000	0x0020	1	41	4352
3002	0x40	0x88	0x0000	0x0021	1	60	4354
216	0xc0	0x88	0x0000	0x0340	64	-	4356
7734	0x40	0x88	0x0000	0x0053	1	80	4358
3054	0x40	0x88	0x0000	0x0054	1	02	4360
1977	0x40	0x88	0x0000	0x005e	1	03	4362
3067	0x40	0x88	0x0000	0x0078	1	60	4364
2946	0x40	0x88	0x0000	0x0079	1	09	4366
3010	0x40	0x88	0x0000	0x007c	1	10	4368
2940	0x40	0x88	0x0000	0x0037	1	00	4370
2048	0x40	0x88	0x0000	0x0051	1	03	4372
2921	0x40	0x88	0x0000	0x0076	1	00	4374
1105	0xc0	0x88	0x0000	0x0340	64	-	4376
308	0x40	0x88	0x0000	0x0023	1	00	4378
1611	0x40	0x88	0x0000	0x0035	1	06	4380
1041	0x40	0x88	0x0000	0x0036	1	01	4382
11977	0x40	0x88	0x0000	0x0036	1	03	4384
2012	0x40	0x88	0x0000	0x0035	1	0f	4386
